Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
34057,855928,060.0 053.0,20-1601RL-MX-027-1123-06000530-0000A-7,0,13.342,32.7369,6.189,24.57298,103.72,270.25,,7,2,,3,,,,,,1.366,,0.449,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0,13.34,13.34,32.737,24.573,335.4,0,6.19,103.7,,,,,,1.37,0.45,0,,,,,,,,
34057,855929,060.0 053.0,20-1601RL-MX-027-1123-06000530-0002A-3,2,13.342,32.7369,6.189,24.57308,103.72,270.25,7,3,2,,3,,,,,,1.366,,0.449,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,2,13.34,13.34,32.737,24.573,335.5,0.007,6.19,103.7,,,,,,1.37,0.45,2,7,,,,,,,
34057,855930,060.0 053.0,20-1601RL-MX-027-1123-06000530-0006A-3,6,13.358,32.8685,6.179,24.67189,103.67,269.82,6,3,2,,3,6,,,6,,1.128,,0.476,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,6,13.36,13.36,32.869,24.672,326.2,0.02,6.18,103.7,,,,,,1.13,0.48,6,6,,,,,,,
34057,855931,060.0 053.0,20-1601RL-MX-027-1123-06000530-0010A-7,10,13.362,33.0125,6.057,24.78269,101.72,263.96,,7,2,,3,6,,6,6,6,0.998,,0.277,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10,13.36,13.36,33.013,24.783,315.8,0.033,6.06,101.7,,,,,,1,0.28,10,,,,,,,,
34057,855932,060.0 053.0,20-1601RL-MX-027-1123-06000530-0011A-3,11,13.313,33.0972,6.048,24.85808,101.52,264.02,5,3,2,,3,6,,,6,,0.966,,0.227,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,11,13.31,13.31,33.097,24.858,308.6,0.036,6.05,101.5,,,,,,0.97,0.23,11,5,,,,,,,
34057,855933,060.0 053.0,20-1601RL-MX-027-1123-06000530-0020A-3,20,13.39,33.2259,5.992,24.94269,100.82,261.57,4,3,2,,3,6,,,6,,1.017,,0.413,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,20,13.39,13.39,33.226,24.943,300.8,0.064,5.99,100.8,,,,,,1.02,0.41,20,4,,,,,,,
34057,855934,060.0 053.0,20-1601RL-MX-027-1123-06000530-0030A-7,30,13.387,33.265,6.006,24.97409,101.07,261.69,,7,2,,3,6,,6,6,6,0.874,,0.434,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,30,13.39,13.38,33.265,24.974,298.1,0.094,6.01,101.1,,,,,,0.87,0.43,30,,,,,,,,
34057,855935,060.0 053.0,20-1601RL-MX-027-1123-06000530-0050A-3,50,13.294,33.2879,5.738,25.01158,96.38,250.45,3,3,2,,3,6,,,6,,0.587,,0.477,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,50,13.29,13.29,33.288,25.012,295.2,0.154,5.74,96.4,,,,,,0.59,0.48,50,3,,,,,,,
34057,855936,060.0 053.0,20-1601RL-MX-027-1123-06000530-0071A-3,71,12.669,33.3763,4.993,25.2044,82.82,217.92,2,3,2,,3,6,,,6,,0.15,,0.238,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,71,12.67,12.66,33.376,25.204,277.4,0.214,4.99,82.8,,,,,,0.15,0.24,72,2,,,,,,,
34057,855937,060.0 053.0,20-1601RL-MX-027-1123-06000530-0075A-7,75,12.541,33.3838,4.948,25.2352,81.86,215.54,,7,2,,3,6,,6,6,6,0.142,,0.248,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,75,12.54,12.53,33.384,25.235,274.5,0.225,4.95,81.9,,,,,,0.14,0.25,76,,,,,,,,
34057,855938,060.0 053.0,20-1601RL-MX-027-1123-06000530-0080A-3,80,12.353,33.38,4.742,25.2686,78.13,206.97,1,3,2,,3,,,,,,0.132,,0.26,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,80,12.35,12.34,33.38,25.269,271.5,0.237,4.74,78.1,,,,,,0.13,0.26,81,1,,,,,,,
34058,855939,060.0 060.0,20-1601RL-MX-027-1523-06000600-0000A-7,0,13.1,33.0162,6.121,24.83722,102.24,267.23,,7,2,,3,,,,,,1.13,,0.45,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0,13.1,13.1,33.016,24.837,310.3,0,6.12,102.2,,,,,,1.13,0.45,0,,,,,,,,
34058,855940,060.0 060.0,20-1601RL-MX-027-1523-06000600-0002A-3,2,13.1,33.0162,6.121,24.83733,102.24,267.23,12,3,2,,3,,,,,,1.13,,0.45,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,2,13.1,13.1,33.016,24.837,310.3,0.006,6.12,102.2,,,,,,1.13,0.45,2,12,,,,,,,
34058,855941,060.0 060.0,20-1601RL-MX-027-1523-06000600-0010A-3,10,13.107,33.0345,6.087,24.85054,101.7,265.76,11,3,2,,3,6,,,6,,1.238,,0.263,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10,13.11,13.11,33.035,24.851,309.3,0.031,6.09,101.7,,,,,,1.24,0.26,10,11,,,,,,,
34058,855942,060.0 060.0,20-1601RL-MX-027-1523-06000600-0020A-3,20,13.074,33.1536,5.919,24.9498,98.89,258.41,10,3,2,,3,6,,,6,,0.648,,0.506,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,20,13.07,13.07,33.154,24.95,300.1,0.062,5.92,98.9,,,,,,0.65,0.51,20,10,,,,,,,
34058,855943,060.0 060.0,20-1601RL-MX-027-1523-06000600-0030A-7,30,13.061,33.1971,5.938,24.98658,99.21,258.73,,7,2,,3,6,,6,6,6,0.63,,0.46,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,30,13.06,13.06,33.197,24.987,296.9,0.092,5.94,99.2,,,,,,0.63,0.46,30,,,,,,,,
34058,855944,060.0 060.0,20-1601RL-MX-027-1523-06000600-0050A-3,50,13.003,33.2302,5.843,25.02475,97.52,255.04,9,3,2,,3,6,,,6,,0.593,,0.367,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,50,13,13,33.23,25.025,293.9,0.152,5.84,97.5,,,,,,0.59,0.37,50,9,,,,,,,
34058,855945,060.0 060.0,20-1601RL-MX-027-1523-06000600-0070A-3,70,11.639,33.3884,4.394,25.40857,71.32,191.79,8,3,2,,3,6,,,6,,0.135,,0.177,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,70,11.64,11.63,33.388,25.409,257.8,0.207,4.39,71.3,,,,,,0.14,0.18,71,8,,,,,,,
34058,855946,060.0 060.0,20-1601RL-MX-027-1523-06000600-0075A-7,75,11.41,33.4239,4.173,25.4783,67.41,181.74,,7,2,,3,6,,6,6,6,0.124,,0.168,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,75,11.41,11.4,33.424,25.478,251.2,0.22,4.17,67.4,,,,,,0.12,0.17,76,,,,,,,,
34058,855947,060.0 060.0,20-1601RL-MX-027-1523-06000600-0100A-7,100,10.577,33.6063,3.399,25.76947,53.98,147.99,,7,2,,3,6,,6,6,6,0.068,,0.124,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,100,10.58,10.57,33.606,25.769,224.1,0.28,3.4,54,,,,,,0.07,0.12,101,,,,,,,,
34058,855948,060.0 060.0,20-1601RL-MX-027-1523-06000600-0101A-3,101,10.539,33.5812,3.334,25.75654,52.9,145.48,7,3,2,,3,,,,,,0.066,,0.122,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,101,10.54,10.53,33.581,25.757,225.3,0.281,3.33,52.9,,,,,,0.07,0.12,102,7,,,,,,,
34058,855949,060.0 060.0,20-1601RL-MX-027-1523-06000600-0120A-3,120,9.905,33.7151,3.007,25.9696,47.09,131.22,6,3,2,,3,6,,,6,,0.02,,0.106,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,120,9.91,9.89,33.715,25.97,205.4,0.323,3.01,47.1,,,,,,0.02,0.11,121,6,,,,,,,
34058,855950,060.0 060.0,20-1601RL-MX-027-1523-06000600-0125A-7,125,9.805,33.7278,2.992,25.99636,46.76,130.24,,7,2,,3,6,,6,6,6,0.019,,0.101,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,125,9.81,9.79,33.728,25.996,202.9,0.333,2.99,46.8,,,,,,0.02,0.1,126,,,,,,,,
34058,855951,060.0 060.0,20-1601RL-MX-027-1523-06000600-0141A-3,141,9.688,33.8162,2.777,26.08538,43.31,121.15,5,3,2,,3,6,,,6,,0.015,,0.083,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,141,9.69,9.67,33.816,26.085,194.8,0.365,2.78,43.3,,,,,,0.02,0.08,142,5,,,,,,,
34058,855952,060.0 060.0,20-1601RL-MX-027-1523-06000600-0150A-7,150,9.526,33.8402,2.726,26.13103,42.36,118.64,,7,2,,3,6,,6,6,6,0.014,,0.078,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,150,9.53,9.51,33.84,26.131,190.7,0.383,2.73,42.4,,,,,,0.01,0.08,151,,,,,,,,
34058,855953,060.0 060.0,20-1601RL-MX-027-1523-06000600-0200A-3,200,8.725,33.9482,2.554,26.34463,39.01,111.4,4,3,2,,3,6,,,6,,0.01,,0.052,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,200,8.73,8.7,33.948,26.345,171.2,0.474,2.55,39,,,,,,0.01,0.05,202,4,,,,,,,
34058,855954,060.0 060.0,20-1601RL-MX-027-1523-06000600-0250A-7,250,8.107,34.0712,1.85,26.53633,27.88,80.49,,7,2,,3,6,,6,6,6,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,250,8.11,8.08,34.071,26.536,153.7,0.556,1.85,27.9,,,,,,,,252,,,,,,,,
34058,855955,060.0 060.0,20-1601RL-MX-027-1523-06000600-0269A-3,269,7.975,34.0938,1.638,26.57412,24.62,71.44,3,3,2,,3,6,,,6,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,269,7.98,7.95,34.094,26.574,150.5,0.585,1.64,24.6,,,,,,,,271,3,,,,,,,
34058,855956,060.0 060.0,20-1601RL-MX-027-1523-06000600-0300A-7,300,7.748,34.1192,1.397,26.62803,20.89,60.77,,7,2,,3,6,,6,6,6,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,300,7.75,7.72,34.119,26.628,145.8,0.632,1.4,20.9,,,,,,,,303,,,,,,,,
34058,855957,060.0 060.0,20-1601RL-MX-027-1523-06000600-0381A-3,381,6.744,34.1216,0.998,26.77124,14.58,43.55,2,3,2,,3,6,,,6,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,381,6.74,6.71,34.122,26.771,132.9,0.745,1,14.6,,,,,,,,384,2,,,,,,,
34058,855958,060.0 060.0,20-1601RL-MX-027-1523-06000600-0400A-7,400,6.584,34.1296,0.93,26.79914,13.53,40.45,,7,2,,3,6,,6,6,6,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,400,6.58,6.55,34.13,26.799,130.4,0.771,0.93,13.5,,,,,,,,403,,,,,,,,
34058,855959,060.0 060.0,20-1601RL-MX-027-1523-06000600-0500A-7,500,5.629,34.139,0.641,26.9287,9.12,27.88,,7,2,,3,6,,6,6,6,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,500,5.63,5.59,34.139,26.929,118.6,0.896,0.64,9.1,,,,,,,,504,,,,,,,,
34058,855960,060.0 060.0,20-1601RL-MX-027-1523-06000600-0515A-3,515,5.535,34.1268,0.577,26.93057,8.19,25.16,1,3,2,,3,,,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,515,5.54,5.49,34.127,26.931,118.5,0.91,0.58,8.2,,,,,,,,520,1,,,,,,,
34059,855961,060.0 070.0,20-1601RL-MX-027-2033-06000700-0000A-7,0,14.024,33.2137,6.092,24.80264,103.85,265.94,,7,2,,3,,,,,,1.617,,0.1,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0,14.02,14.02,33.214,24.803,313.6,0,6.09,103.9,,,,,,1.62,0.1,0,,,,,,,,
34059,855962,060.0 070.0,20-1601RL-MX-027-2033-06000700-0002A-3,2,14.024,33.2137,6.092,24.80275,103.85,265.94,12,3,2,,3,,,,,,1.617,,0.1,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,2,14.02,14.02,33.214,24.803,313.6,0.006,6.09,103.9,,,,,,1.62,0.1,2,12,,,,,,,
34059,855963,060.0 070.0,20-1601RL-MX-027-2033-06000700-0009A-3,9,13.929,33.2294,6.119,24.83494,104.11,267.11,11,3,2,,3,6,,,6,,1.206,,0.154,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,9,13.93,13.93,33.229,24.835,310.8,0.028,6.12,104.1,,,,,,1.21,0.15,9,11,,,,,,,
34059,855964,060.0 070.0,20-1601RL-MX-027-2033-06000700-0010A-7,10,13.921,33.2313,6.089,24.83812,103.59,265.34,,7,2,,3,6,,6,6,6,1.17,,0.174,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10,13.92,13.92,33.231,24.838,310.5,0.031,6.09,103.6,,,,,,1.17,0.17,10,,,,,,,,
34059,855965,060.0 070.0,20-1601RL-MX-027-2033-06000700-0020A-3,20,13.862,33.2807,5.933,24.88902,100.84,258.99,10,3,2,,3,6,,,6,,0.815,,0.377,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,20,13.86,13.86,33.281,24.889,306,0.063,5.93,100.8,,,,,,0.82,0.38,20,10,,,,,,,
34059,855966,060.0 070.0,20-1601RL-MX-027-2033-06000700-0030A-7,30,13.855,33.3079,5.897,24.91206,100.23,256.96,,7,2,,3,6,,6,6,6,0.805,,0.408,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,30,13.86,13.85,33.308,24.912,304.1,0.093,5.9,100.2,,,,,,0.81,0.41,30,,,,,,,,
34059,855967,060.0 070.0,20-1601RL-MX-027-2033-06000700-0050A-3,50,13.569,33.313,5.84,24.97558,98.67,254.9,9,3,2,,3,6,,,6,,0.786,,0.469,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,50,13.57,13.56,33.313,24.976,298.6,0.154,5.84,98.7,,,,,,0.79,0.47,50,9,,,,,,,
34059,855968,060.0 070.0,20-1601RL-MX-027-2033-06000700-0069A-3,69,12.336,33.3671,4.596,25.26129,75.7,200.61,8,3,2,,3,6,,,6,,0.086,,0.118,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,69,12.34,12.33,33.367,25.261,271.9,0.208,4.6,75.7,,,,,,0.09,0.12,70,8,,,,,,,
34059,855969,060.0 070.0,20-1601RL-MX-027-2033-06000700-0075A-7,75,11.554,33.3602,4.463,25.40249,72.29,194.38,,7,2,,3,6,,6,6,6,0.076,,0.114,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,75,11.55,11.54,33.36,25.402,258.5,0.225,4.46,72.3,,,,,,0.08,0.11,76,,,,,,,,
34059,855970,060.0 070.0,20-1601RL-MX-027-2033-06000700-0098A-3,98,10.686,33.4825,3.729,25.65393,59.32,162.73,7,3,2,,3,,,,,,0.04,,0.098,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,98,10.69,10.67,33.483,25.654,235,0.281,3.73,59.3,,,,,,0.04,0.1,99,7,,,,,,,
34059,855971,060.0 070.0,20-1601RL-MX-027-2033-06000700-0100A-7,100,10.667,33.5212,3.714,25.68748,59.07,161.71,,7,2,,3,6,,6,6,6,0.038,,0.096,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,100,10.67,10.66,33.521,25.687,231.9,0.286,3.71,59.1,,,,,,0.04,0.1,101,,,,,,,,
34059,855972,060.0 070.0,20-1601RL-MX-027-2033-06000700-0121A-3,121,9.768,33.5561,3.535,25.86819,55.14,154.27,6,3,2,,3,6,,,6,,0.016,,0.078,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,121,9.77,9.75,33.556,25.868,215,0.334,3.54,55.1,,,,,,0.02,0.08,122,6,,,,,,,
34059,855973,060.0 070.0,20-1601RL-MX-027-2033-06000700-0125A-7,125,9.734,33.5576,3.541,25.87513,55.19,154.15,,7,2,,3,6,,6,6,6,0.014,,0.077,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,125,9.73,9.72,33.558,25.875,214.4,0.342,3.54,55.2,,,,,,0.01,0.08,126,,,,,,,,
34059,855974,060.0 070.0,20-1601RL-MX-027-2033-06000700-0141A-3,141,9.43,33.6991,3.261,26.03597,50.53,142.3,5,3,2,,3,6,,,6,,0.007,,0.075,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,141,9.43,9.41,33.699,26.036,199.4,0.376,3.26,50.5,,,,,,0.01,0.08,142,5,,,,,,,
34059,855975,060.0 070.0,20-1601RL-MX-027-2033-06000700-0150A-7,150,9.328,33.7911,2.882,26.12471,44.58,125.43,,7,2,,3,6,,6,6,6,0.006,,0.071,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,150,9.33,9.31,33.791,26.125,191.2,0.393,2.88,44.6,,,,,,0.01,0.07,151,,,,,,,,
34059,855976,060.0 070.0,20-1601RL-MX-027-2033-06000700-0200A-7,200,8.663,34.0139,2.223,26.40571,33.92,96.73,,7,2,,3,6,,6,6,6,0.003,,0.049,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,200,8.66,8.64,34.014,26.406,165.4,0.483,2.22,33.9,,,,,,0,0.05,202,,,,,,,,
34059,855977,060.0 070.0,20-1601RL-MX-027-2033-06000700-0201A-3,201,8.644,34.015,2.214,26.40953,33.77,96.58,4,3,2,,3,6,,,6,,0.003,,0.049,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,201,8.64,8.62,34.015,26.41,165,0.485,2.21,33.8,,,,,,0,0.05,203,4,,,,,,,
34059,855978,060.0 070.0,20-1601RL-MX-027-2033-06000700-0250A-7,250,8.049,34.0964,1.655,26.56469,24.91,72,,7,2,,3,6,,6,6,6,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,250,8.05,8.02,34.096,26.565,151,0.563,1.66,24.9,,,,,,,,252,,,,,,,,
34059,855979,060.0 070.0,20-1601RL-MX-027-2033-06000700-0271A-3,271,7.91,34.1171,1.489,26.602,22.35,64.94,3,3,2,,3,6,,,6,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,271,7.91,7.88,34.117,26.602,147.8,0.595,1.49,22.4,,,,,,,,273,3,,,,,,,
34059,855980,060.0 070.0,20-1601RL-MX-027-2033-06000700-0300A-7,300,7.561,34.1293,1.27,26.66275,18.91,55.25,,7,2,,3,6,,6,6,6,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,300,7.56,7.53,34.129,26.663,142.4,0.637,1.27,18.9,,,,,,,,303,,,,,,,,
34059,855981,060.0 070.0,20-1601RL-MX-027-2033-06000700-0381A-3,381,7.006,34.1989,0.731,26.79696,10.75,31.88,2,3,2,,3,6,,,6,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,381,7.01,6.97,34.199,26.797,130.7,0.749,0.73,10.8,,,,,,,,384,2,,,,,,,
34059,855982,060.0 070.0,20-1601RL-MX-027-2033-06000700-0400A-7,400,6.963,34.2123,0.684,26.81386,10.05,29.75,,7,2,,3,6,,6,6,6,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,400,6.96,6.93,34.212,26.814,129.4,0.774,0.68,10.1,,,,,,,,403,,,,,,,,
34059,855983,060.0 070.0,20-1601RL-MX-027-2033-06000700-0500A-7,500,6.133,34.2274,0.46,26.9367,6.63,20,,7,2,,3,6,,6,6,6,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,500,6.13,6.09,34.227,26.937,118.5,0.899,0.46,6.6,,,,,,,,504,,,,,,,,
34059,855984,060.0 070.0,20-1601RL-MX-027-2033-06000700-0516A-3,516,6.02,34.2109,0.429,26.93816,6.16,18.7,1,3,2,,3,,,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,516,6.02,5.97,34.211,26.938,118.5,0.914,0.43,6.2,,,,,,,,521,1,,,,,,,
34060,855985,060.0 080.0,20-1601RL-MX-028-0145-06000800-0000A-7,0,15.139,32.9014,5.833,24.32514,101.52,254.73,,7,2,,3,,,,,,0.226,,0.049,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0,15.14,15.14,32.901,24.325,359,0,5.83,101.5,,,,,,0.23,0.05,0,,,,,,,,
34060,855986,060.0 080.0,20-1601RL-MX-028-0145-06000800-0002A-3,2,15.139,32.9014,5.833,24.32527,101.52,254.73,12,3,2,,3,,,,,,0.226,,0.049,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,2,15.14,15.14,32.901,24.325,359.1,0.007,5.83,101.5,,,,,,0.23,0.05,2,12,,,,,,,
34060,855987,060.0 080.0,20-1601RL-MX-028-0145-06000800-0009A-3,9,14.641,32.9196,5.852,24.44673,100.84,255.55,11,3,2,,3,6,,,6,,0.262,,0.072,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,9,14.64,14.64,32.92,24.447,347.8,0.032,5.85,100.8,,,,,,0.26,0.07,9,11,,,,,,,
34060,855988,060.0 080.0,20-1601RL-MX-028-0145-06000800-0010A-7,10,14.628,32.9206,5.863,24.45033,101,255.59,,7,2,,3,6,,6,6,6,0.264,,0.069,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10,14.63,14.63,32.921,24.45,347.4,0.036,5.86,101,,,,,,0.26,0.07,10,,,,,,,,
34060,855989,060.0 080.0,20-1601RL-MX-028-0145-06000800-0020A-3,20,14.463,32.9149,5.86,24.48146,100.6,255.89,10,3,2,,3,6,,,6,,0.286,,0.044,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,20,14.46,14.46,32.915,24.481,344.8,0.071,5.86,100.6,,,,,,0.29,0.04,20,10,,,,,,,
34060,855990,060.0 080.0,20-1601RL-MX-028-0145-06000800-0030A-7,30,14.432,32.923,5.875,24.49484,100.8,256.1,,7,2,,3,6,,6,6,6,0.349,,0.101,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,30,14.43,14.43,32.923,24.495,343.8,0.105,5.88,100.8,,,,,,0.35,0.1,30,,,,,,,,
34060,855991,060.0 080.0,20-1601RL-MX-028-0145-06000800-0049A-3,49,14.326,32.9275,5.839,24.52172,99.96,254.98,9,3,2,,3,6,,,6,,0.468,,0.208,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,49,14.33,14.32,32.928,24.522,341.9,0.171,5.84,100,,,,,,0.47,0.21,49,9,,,,,,,
34060,855992,060.0 080.0,20-1601RL-MX-028-0145-06000800-0050A-7,50,14.28,32.9277,5.842,24.53155,99.92,254.66,,7,2,,3,6,,6,6,6,0.456,,0.204,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,50,14.28,14.27,32.928,24.532,341,0.174,5.84,99.9,,,,,,0.46,0.2,50,,,,,,,,
34060,855993,060.0 080.0,20-1601RL-MX-028-0145-06000800-0069A-3,69,14.051,32.9495,5.782,24.59709,98.44,252.48,8,3,2,,3,6,,,6,,0.222,,0.124,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,69,14.05,14.04,32.95,24.597,335.3,0.239,5.78,98.4,,,,,,0.22,0.12,70,8,,,,,,,
34060,855994,060.0 080.0,20-1601RL-MX-028-0145-06000800-0075A-7,75,13.892,33.0085,5.77,24.67576,97.95,251.48,,7,2,,3,6,,6,6,6,0.191,,0.114,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,75,13.89,13.88,33.009,24.676,328,0.259,5.77,98,,,,,,0.19,0.11,76,,,,,,,,
34060,855995,060.0 080.0,20-1601RL-MX-028-0145-06000800-0099A-3,99,12.124,33.1094,5.308,25.10301,86.89,231.75,7,3,2,,3,,,,,,0.067,,0.076,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,99,12.12,12.11,33.109,25.103,287.7,0.331,5.31,86.9,,,,,,0.07,0.08,100,7,,,,,,,
34060,855996,060.0 080.0,20-1601RL-MX-028-0145-06000800-0100A-7,100,12.092,33.1392,5.335,25.13221,87.28,232.42,,7,2,,3,6,,6,6,6,0.066,,0.076,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,100,12.09,12.08,33.139,25.132,284.9,0.336,5.34,87.3,,,,,,0.07,0.08,101,,,,,,,,
34060,855997,060.0 080.0,20-1601RL-MX-028-0145-06000800-0121A-3,121,11.096,33.2255,4.826,25.3825,77.33,210.69,6,3,2,,3,6,,,6,,0.053,,0.068,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,121,11.1,11.08,33.226,25.383,261.4,0.394,4.83,77.3,,,,,,0.05,0.07,122,6,,,,,,,
34060,855998,060.0 080.0,20-1601RL-MX-028-0145-06000800-0125A-7,125,10.728,33.2534,4.878,25.46924,77.55,212.44,,7,2,,3,6,,6,6,6,0.045,,0.064,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,125,10.73,10.71,33.253,25.469,253.2,0.404,4.88,77.6,,,,,,0.05,0.06,126,,,,,,,,
34060,855999,060.0 080.0,20-1601RL-MX-028-0145-06000800-0140A-3,140,10.173,33.3954,3.986,25.67581,62.66,174.02,5,3,2,,3,6,,,6,,0.015,,0.047,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,140,10.17,10.16,33.395,25.676,233.8,0.441,3.99,62.7,,,,,,0.02,0.05,141,5,,,,,,,
34060,856000,060.0 080.0,20-1601RL-MX-028-0145-06000800-0150A-7,150,9.681,33.4588,3.923,25.80757,61.03,170.79,,7,2,,3,6,,6,6,6,0.014,,0.046,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,150,9.68,9.66,33.459,25.808,221.4,0.464,3.92,61,,,,,,0.01,0.05,151,,,,,,,,
34060,856001,060.0 080.0,20-1601RL-MX-028-0145-06000800-0200A-3,200,9.116,33.8454,2.715,26.20285,41.81,118.49,4,3,2,,3,6,,,6,,0.006,,0.041,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,200,9.12,9.09,33.845,26.203,184.8,0.567,2.72,41.8,,,,,,0.01,0.04,202,4,,,,,,,
